;name;format;height;width;height_to_width;ncol;aircraft_manufacturer;aircraft_type
0;Aegean_Airlines_Airbus_A320-200_0.jpg;jpg;720;720;1.0;3;Airbus;A320
1;Aegean_Airlines_Airbus_A320-200_1.jpg;jpg;720;720;1.0;3;Airbus;A320
2;Aegean_Airlines_Airbus_A320-200_2.jpg;jpg;720;720;1.0;3;Airbus;A320
3;Aegean_Airlines_Airbus_A320-200_3.jpg;jpg;720;960;0.75;3;Airbus;A320
4;Aegean_Airlines_Airbus_A320-200_4.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320
5;Aegean_Airlines_Airbus_A321-200_0.jpg;jpg;720;960;0.75;3;Airbus;A321
6;Aegean_Airlines_Bombardier_Dash_8_Q400_0.jpg;jpg;720;960;0.75;3;Other;
7;Aeroflot_Russian_Airlines_Airbus_330_200_0.jpg;jpg;720;960;0.75;3;Airbus;A330
8;Aeroflot_Russian_Airlines_Airbus_330_200_1.jpg;jpg;720;960;0.75;3;Airbus;A330
9;Aeroflot_Russian_Airlines_Airbus_330_200_2.jpg;jpg;720;960;0.75;3;Airbus;A330
10;Aeroflot_Russian_Airlines_Airbus_330_200_3.jpg;jpg;720;722;0.997229916897507;3;Airbus;A330
11;Aeroflot_Russian_Airlines_Airbus_330_200_4.jpg;jpg;720;922;0.7809110629067245;3;Airbus;A330
12;Aeroflot_Russian_Airlines_Airbus_A320_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320
13;Aeroflot_Russian_Airlines_Airbus_A320_1.jpg;jpg;720;960;0.75;3;Airbus;A320
14;Aeroflot_Russian_Airlines_Airbus_A320_2.jpg;jpg;720;960;0.75;3;Airbus;A320
15;Aeroflot_Russian_Airlines_Airbus_A320_3.jpg;jpg;720;960;0.75;3;Airbus;A320
16;Aeroflot_Russian_Airlines_Airbus_A320_4.jpg;jpg;720;960;0.75;3;Airbus;A320
17;Aeroflot_Russian_Airlines_Airbus_A320_V2_0.jpg;jpg;720;960;0.75;3;Airbus;A320
18;Aeroflot_Russian_Airlines_Airbus_A320_V2_1.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320
19;Aeroflot_Russian_Airlines_Airbus_A320_V2_2.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320
20;Aeroflot_Russian_Airlines_Airbus_A320_V2_3.jpg;jpg;720;960;0.75;3;Airbus;A320
21;Aeroflot_Russian_Airlines_Airbus_A320_V2_4.jpg;jpg;720;960;0.75;3;Airbus;A320
22;Aeroflot_Russian_Airlines_Airbus_A321_0.jpg;jpg;720;720;1.0;3;Airbus;A321
23;Aeroflot_Russian_Airlines_Airbus_A321_1.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A321
24;Aeroflot_Russian_Airlines_Airbus_A321_2.jpg;jpg;720;960;0.75;3;Airbus;A321
25;Aeroflot_Russian_Airlines_Airbus_A321_3.jpg;jpg;720;960;0.75;3;Airbus;A321
26;Aeroflot_Russian_Airlines_Airbus_A321_4.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A321
27;Aeroflot_Russian_Airlines_Boeing_777-300ER_0.jpg;jpg;720;960;0.75;3;Boeing;777
28;Aeroflot_Russian_Airlines_Boeing_777-300ER_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;777
29;Aeroflot_Russian_Airlines_Boeing_777-300ER_2.jpg;jpg;720;960;0.75;3;Boeing;777
30;Aeroflot_Russian_Airlines_Boeing_777-300ER_3.jpg;jpg;720;960;0.75;3;Boeing;777
31;Aeroflot_Russian_Airlines_Boeing_777-300ER_4.jpg;jpg;720;960;0.75;3;Boeing;777
32;Aeroflot_Russian_Airlines_Sukhoi_Superjet_100-95B_0.jpg;jpg;717;960;0.746875;3;Other;
33;Aeroflot_Russian_Airlines_Sukhoi_Superjet_100-95B_1.jpg;jpg;720;948;0.759493670886076;3;Other;
34;Aeroflot_Russian_Airlines_Sukhoi_Superjet_100-95B_2.jpg;jpg;717;960;0.746875;3;Other;
35;Aerolineas_Argentinas_Boeing_737-700_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
36;Aerolineas_Argentinas_Boeing_737-700_1.jpg;jpg;720;960;0.75;3;Boeing;737
37;Aerolineas_Argentinas_Boeing_737-700_2.jpg;jpg;570;960;0.59375;3;Boeing;737
38;Aerolineas_Argentinas_Boeing_737-800_0.jpg;jpg;720;960;0.75;3;Boeing;737
39;AeroMexico_Boeing_737-700_V2_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
40;AeroMexico_Boeing_737-700_V2_1.jpg;jpg;720;960;0.75;3;Boeing;737
41;AeroMexico_Boeing_737-700_V2_2.jpg;jpg;720;960;0.75;3;Boeing;737
42;AeroMexico_Boeing_737-700_V2_3.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
43;AeroMexico_Boeing_737-700_V2_4.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
44;AeroMexico_Boeing_737-800_B_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
45;AeroMexico_Boeing_737-800_B_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
46;AeroMexico_Boeing_737-800_B_2.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
47;AeroMexico_Boeing_737-800_B_3.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
48;AeroMexico_Boeing_737-800_B_4.jpg;jpg;720;960;0.75;3;Boeing;737
49;AeroMexico_Boeing_787-9_0.jpg;jpg;720;960;0.75;3;Boeing;787
50;AeroMexico_Boeing_787-9_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787
51;AeroMexico_Boeing_787-9_2.jpg;jpg;720;960;0.75;3;Boeing;787
52;AeroMexico_Boeing_787-9_3.jpg;jpg;720;960;0.75;3;Boeing;787
53;AeroMexico_Boeing_787-9_4.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787
54;AeroMexico_Embraer_ERJ-190_0.jpg;jpg;720;960;0.75;3;Other;
55;AeroMexico_Embraer_ERJ-190_1.jpg;jpg;720;386;1.8652849740932642;3;Other;
56;AeroMexico_Embraer_ERJ-190_2.jpg;jpg;720;960;0.75;3;Other;
57;AeroMexico_Embraer_ERJ-190_3.jpg;jpg;720;960;0.75;3;Other;
58;AeroMexico_Embraer_ERJ-190_4.jpg;jpg;720;960;0.75;3;Other;
59;AeroMexio_Boeing_787-8_0.jpg;jpg;539;960;0.5614583333333333;3;Boeing;787
60;AeroMexio_Boeing_787-8_1.jpg;jpg;539;960;0.5614583333333333;3;Boeing;787
61;AeroMexio_Boeing_787-8_2.jpg;jpg;720;404;1.7821782178217822;3;Boeing;787
62;AeroMexio_Boeing_787-8_3.jpg;jpg;539;960;0.5614583333333333;3;Boeing;787
63;AeroMexio_Boeing_787-8_4.jpg;jpg;576;960;0.6;3;Boeing;787
64;Aer_Lingus_Airbus_A320_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320
65;Aer_Lingus_Airbus_A320_1.jpg;jpg;647;960;0.6739583333333333;3;Airbus;A320
66;Aer_Lingus_Airbus_A320_2.jpg;jpg;720;960;0.75;3;Airbus;A320
67;Aer_Lingus_Airbus_A320_3.jpg;jpg;1657;425;3.898823529411765;3;Airbus;A320
68;Aer_Lingus_Airbus_A321_0.jpg;jpg;540;960;0.5625;3;Airbus;A321
69;Aer_Lingus_Airbus_A321_1.jpg;jpg;540;960;0.5625;3;Airbus;A321
70;Aer_Lingus_Airbus_A330-200_0.jpg;jpg;720;960;0.75;3;Airbus;A330
71;Aer_Lingus_Airbus_A330-200_1.jpg;jpg;720;960;0.75;3;Airbus;A330
72;Aer_Lingus_Airbus_A330-200_2.jpg;jpg;718;960;0.7479166666666667;3;Airbus;A330
73;Aer_Lingus_Airbus_A330-200_3.jpg;jpg;720;960;0.75;3;Airbus;A330
74;Aer_Lingus_Airbus_A330-200_4.jpg;jpg;720;960;0.75;3;Airbus;A330
75;Aer_Lingus_Airbus_A330-300_A_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330
76;Aer_Lingus_Airbus_A330-300_A_1.jpg;jpg;720;960;0.75;3;Airbus;A330
77;Aer_Lingus_Airbus_A330-300_A_2.jpg;jpg;720;960;0.75;3;Airbus;A330
78;Aer_Lingus_Airbus_A330-300_A_3.jpg;jpg;720;960;0.75;3;Airbus;A330
79;Aer_Lingus_Airbus_A330-300_A_4.jpg;jpg;720;960;0.75;3;Airbus;A330
80;AirAsia_X_Airbus_A330-300_0.jpg;jpg;720;960;0.75;3;Airbus;A330
81;AirAsia_X_Airbus_A330-300_1.jpg;jpg;720;960;0.75;3;Airbus;A330
82;AirAsia_X_Airbus_A330-300_2.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330
83;AirAsia_X_Airbus_A330-300_3.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330
84;AirAsia_X_Airbus_A330-300_4.jpg;jpg;720;480;1.5;3;Airbus;A330
85;Air_Asia_Airbus_320_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320
