name;format;height;width;height_to_width;ncol;aircraft_manufacturer;aircraft_type
Cathay_Pacific_Airways_Boeing_777-300ER_C_0.jpg;jpg;540;960;0.5625;3;Boeing;777
KLM_Airbus_A330-300_1.jpg;jpg;720;960;0.75;3;Airbus;A330
American_Airlines_Boeing_767-300_3.jpg;jpg;720;720;1.0;3;Boeing;767
Air_Canada_Boeing_767-300ER_v2_3.jpg;jpg;720;960;0.75;3;Boeing;767
United_Airlines_Q400_A_2.jpg;jpg;720;960;0.75;3;Other;
American_Airlines_Boeing_787-8_1.jpg;jpg;720;720;1.0;3;Boeing;787
Edelweiss_Air_A340-300_0.jpg;jpg;720;960;0.75;3;Other;
Etihad_Airways_Airbus_A380_0.jpg;jpg;720;960;0.75;3;Airbus;A380
United_Airlines_Boeing_767_300_ER_1.jpg;jpg;720;960;0.75;3;Boeing;767
Iberia_Airbus_A330-200_0.jpg;jpg;720;960;0.75;3;Airbus;A330
China_Eastern_Boeing_777_300ER_0.jpg;jpg;720;405;1.7777777777777777;3;Boeing;777
Oman_Air_Boeing_737-900_3.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
China_Eastern_Boeing_737_800_V4_0.jpg;jpg;720;722;0.997229916897507;3;Boeing;737
LAN_Airlines_Airbus_A320_4.jpg;jpg;720;960;0.75;3;Airbus;A320
Delta_Airlines_Boeing_767-300_D_New_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;767
Lufthansa_Embraer_190_0.jpg;jpg;720;540;1.3333333333333333;3;Other;
Copa_Airlines_Embraer_190_AR_A_3.jpg;jpg;720;960;0.75;3;Other;
Hawaiian_Airlines_Airbus_A321neo_0.jpg;jpg;720;960;0.75;3;Airbus;A321
Austrian_Airlines_Embraer195_0.jpg;jpg;720;540;1.3333333333333333;3;Other;
Air_Transat_Airbus_A310-300_1.jpg;jpg;640;960;0.6666666666666666;3;Airbus;A310
China_Airlines_Airbus_A330-300_V2_0.jpg;jpg;720;405;1.7777777777777777;3;Airbus;A330
Iberia_Canadair_CRJ200_2.jpg;jpg;540;960;0.5625;3;Other;
KLM_Boeing_737-700_2.jpg;jpg;720;960;0.75;3;Boeing;737
LAN_Airlines_Boeing_767-300_4.jpg;jpg;720;960;0.75;3;Boeing;767
Gulf_Air_Airbus_A320_3.jpg;jpg;720;960;0.75;3;Airbus;A320
Frontier_Airlines_Airbus_A319_V2_2.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319
Norwegian_Air_Shuttle_Boeing_787-8_2.jpg;jpg;720;960;0.75;3;Boeing;787
Delta_Airlines_Boeing_737-900ER_3.jpg;jpg;720;960;0.75;3;Boeing;737
Lufthansa_Airbus_A340-300_V3_0.jpg;jpg;720;960;0.75;3;Airbus;A340
Jetstar_Boeing_787-8_4.jpg;jpg;720;753;0.9561752988047809;3;Boeing;787
Volaris_Airlines_Airbus_A320_2.jpg;jpg;720;720;1.0;3;Airbus;A320
ANA_Boeing_787-900_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787
American_Airlines_Embraer_EMB-190_3.jpg;jpg;720;960;0.75;3;Other;
United_Airlines_Airbus_A319_V1_1.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319
Aer_Lingus_Airbus_A330-300_A_3.jpg;jpg;720;960;0.75;3;Airbus;A330
China_Eastern_Boeing_737_800_V4_2.jpg;jpg;720;720;1.0;3;Boeing;737
Turkish_Airlines_Airbus_A340_0.jpg;jpg;720;720;1.0;3;Airbus;A340
Hawaiian_Airlines_Airbus_A330-200_V2_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330
Air_Canada_Dash_81_0.jpg;jpg;720;540;1.3333333333333333;3;Other;
South_African_Airways_Airbus_A340-600_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A340
LAN_Airlines_Boeing_787-900_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787
Delta_Airlines_Boeing_757-300_75Y_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;757
Air_Asia_Airbus_320_2.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320
Qantas_Airways_Airbus_A380_B_4.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A380
TUIfly_Boeing_737-800_2.jpg;jpg;720;960;0.75;3;Boeing;737
Air_Canada_Boeing_787-900_1.jpg;jpg;720;960;0.75;3;Boeing;787
Etihad_Airways_Boeing_777-300ER_2.jpg;jpg;720;960;0.75;3;Boeing;777
Asiana_Boeing_747-400_full_4.jpg;jpg;720;540;1.3333333333333333;3;Boeing;747
SpiceJet_Boeing_737-800_new_3.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
Japan_Airlines_Boeing_767-300ER_1.jpg;jpg;720;960;0.75;3;Boeing;767
American_Airlines_ERJ-175_MCE_3.jpg;jpg;720;720;1.0;3;Other;
Finnair_Airbus_A321_0.jpg;jpg;720;720;1.0;3;Airbus;A321
Turkish_Airlines_Airbus_A319_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319
Hainan_Airlines_Boeing_737-800_2.jpg;jpg;720;720;1.0;3;Boeing;737
United_Airlines_Embraer_Emb_175_1.jpg;jpg;720;960;0.75;3;Other;
LAN_Airlines_Boeing_767-300_V2_3.jpg;jpg;720;720;1.0;3;Boeing;767
Alaska_Airlines_Canadair_CRJ700_2.jpg;jpg;603;960;0.628125;3;Other;
Korean_Air_Boeing_747-400_C_1.jpg;jpg;720;538;1.338289962825279;3;Boeing;747
Scoot_Airlines_Boeing_787-900_2.jpg;jpg;720;960;0.75;3;Boeing;787
Air_Canada_Beech_1900D_2.jpg;jpg;720;540;1.3333333333333333;3;Other;
Delta_Airlines_Boeing_767-400ER_B_Version_2_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;767
Air_Europa_Boeing_787-8_1.jpg;jpg;540;960;0.5625;3;Boeing;787
British_Airways_Boeing_747-400_B_4.jpg;jpg;720;540;1.3333333333333333;3;Boeing;747
United_Airlines_Boeing_737-700_A_4.jpg;jpg;720;960;0.75;3;Boeing;737
United_Airlines_Bombardier_Q300_2.jpg;jpg;720;960;0.75;3;Other;
Asiana_Boeing_747-400_full_0.jpg;jpg;720;960;0.75;3;Boeing;747
TAP_Portugal_Airbus_A330_V3_4.jpg;jpg;720;960;0.75;3;Airbus;A330
AeroMexico_Boeing_787-9_3.jpg;jpg;720;960;0.75;3;Boeing;787
Air_France_Airbus_A380_V2_3.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A380
American_Airlines_AA_Boeing_737-800_C_3.jpg;jpg;720;720;1.0;3;Boeing;737
Iberia_Airbus_A330-300_V2_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330
Air_China_Airbus_A320_0.jpg;jpg;720;960;0.75;3;Airbus;A320
Hainan_Airlines_Airbus_A330-200_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330
Swiss_Airlines_Boeing_777-300ER_2.jpg;jpg;640;960;0.6666666666666666;3;Boeing;777
Copa_Airlines_Boeing_737-700_3.jpg;jpg;720;960;0.75;3;Boeing;737
United_Airlines_Boeing_737-800_C_3.jpg;jpg;720;960;0.75;3;Boeing;737
Air_Canada_Boeing_787-8_2.jpg;jpg;720;960;0.75;3;Boeing;787
Swiss_Airlines_A330_0.jpg;jpg;720;540;1.3333333333333333;3;Other;
Southwest_Airlines_Boeing_737-700_new_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737
China_Eastern_Airbus_A320_0.jpg;jpg;720;534;1.348314606741573;3;Airbus;A320
Middle_East_Airlines_Airbus_A330-200_2.jpg;jpg;720;960;0.75;3;Airbus;A330
Thai_Airways_Boeing_777-200_772_2.jpg;jpg;720;960;0.75;3;Boeing;777
British_Airways_Boeing_787-9_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787
Singapore_Air_Airbus_A380_D_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A380
TAM_Airlines_Boeing_767-300ER_2.jpg;jpg;720;720;1.0;3;Boeing;767
Hainan_Airlines_Boeing_787-8_4.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787
Japan_Airlines_Boeing_767-300ER_V2_4.jpg;jpg;698;960;0.7270833333333333;3;Boeing;767
Qantas_Airways_Boeing_789_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;789
Etihad_Airways_Boeing_787_900_V2_0.jpg;jpg;720;960;0.75;3;Boeing;787
United_Airlines_Embraer_EMB-170_1.jpg;jpg;720;720;1.0;3;Other;
Lufthansa_Boeing_747_8_V3_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;747
